Student Number,Academic Score,Gender,Teams
SN007,100,M,1
SN006,53,F,1
SN041,60,F,1
SN042,85,M,1
SN044,54,M,1
SN028,54,F,2
SN024,66,M,2
SN016,51,F,2
SN020,100,M,2
SN019,96,M,2
SN035,90,M,3
SN032,70,M,3
SN022,75,F,3
SN001,62,M,3
SN043,97,M,4
SN048,59,M,4
SN018,75,F,4
SN012,63,M,4
SN027,89,M,5
SN015,71,M,5
SN023,58,M,5
SN034,75,M,5
SN049,66,F,6
SN017,85,M,6
SN046,71,F,6
SN009,67,M,6
SN047,92,F,7
SN040,80,M,7
SN011,84,M,7
SN004,57,M,7
SN003,89,M,8
SN045,55,M,8
SN026,65,F,8
SN008,77,M,8
SN002,92,F,9
SN021,62,M,9
SN050,67,M,9
SN030,80,M,9
SN029,83,M,10
SN031,78,F,10
SN033,83,M,10
SN037,66,F,10
SN014,51,M,11
SN005,88,F,11
SN039,99,M,11
SN036,58,M,11
SN010,75,F,12
SN038,85,M,12
SN013,55,M,12
SN025,83,M,12
